Kérdés,Válasz
Milyen intézményeknél lehet elvégezni a szakmai gyakorlatot?,"A szakmai gyakorlatot bármelyik intézménynél el lehet végezni, amely hivatalosan elfogadja a gyakorlatot. Fontos azonban, hogy az intézmény megfeleljen az egyetem által meghatározott feltételeknek."
Mennyi időt kell szakmai gyakorlatra fordítani?,"A szakmai gyakorlat időtartama meghatározott, általában 320 óra. Az óraszámot a gyakorlati helyen kell teljesíteni, és a munkaidőkeretet be kell tartani."
"Mit kell tenni, ha már folytatok önkéntes munkát egy másik intézménynél?","Ha már folytatsz önkéntes munkát egy másik intézménynél, akkor a tevékenységet el lehet ismerni szakmai gyakorlatként. Fontos azonban, hogy a tevékenység megfeleljen az egyetem által meghatározott kritériumoknak."
Mikor kell befejezni a szakmai gyakorlatot?,"A szakmai gyakorlatot a pótlási hétig kell befejezni. Ezután már nem lehet teljesíteni a gyakorlatot, és az aláírás hiányában nem lehet kiadni a végbizonyítványt."
Milyen dokumentumokat kell leadni a szakmai gyakorlat végén?,"A szakmai gyakorlat végén be kell nyújtani egy 15-20 oldalas beszámolót a végzett munkáról, valamint egy napi bontású, a külső konzulens által hitelesített munkanaplót. Emellett a külső konzulensnek is készítenie kell egy értékelő jelentést, amelyet mellékletként be kell nyújtani."
Mikor lehet folytatni a szakmai gyakorlatot a vizsgaidőszakban?,"A vizsgaidőszakban is folytathatod a szakmai gyakorlatot, és a legrosszabb esetben tavasszal kaphatod meg az aláírást."
Mire kell gondolni az 'ágazat' alatt a feladatlapon?,Az 'ágazat' alatt a specializációt kell érteni.
"Lehet-e befejezni a szakmai gyakorlatot a következő félévben, ha az időkorlátot nem sikerül betartani?","Igen, ha az időkorlátot nem sikerül betartani, akkor a következő félévben lehet befejezni a szakmai gyakorlatot."
Mennyi munkát lehet elszámolni hetente a szorgalmi időszakban a szakdolgozat tárgy elvégzése után?,A mintatanterv szerinti 7. félév után lehet heti 40 óra munkát elszámolni a szorgalmi időszakban.
Mire van szükség a szakmai gyakorlat sikeres elvégzéséhez?,"A szakmai gyakorlat sikeres elvégzéséhez szükséges a feladatlap, munkanapló, igazolás és szakmai dokumentáció."
Mennyi oldalnak kell szerepelnie a szakmai dokumentációban?,"A szakmai dokumentációnak 15-20 oldalnak kell lennie, és a teljes szakmai gyakorlat alatt elvégzett munkát kell leírnia."
"Kell-e témát kiírni az AUT portálon, ha a szakmai gyakorlatot diákszövetkezeten keresztül végezzük?",Ha a szakmai gyakorlatot
Mikor lehet heti 40 órát elszámolni a szorgalmi időszakban?,"A mintatanterv szerint csak a 7. félév után, amikor már teljesítetted a szakdolgozat tárgyat."
"Hány órát dolgozhatok szakmai gyakorlaton, ha nem haladtam a mintatanterv szerint?","Ha még van pár órád a mintatanterv szerinti 8. félév előtti, akkor az napi 4 órás megkötés vonatkozik rád. Azonban ha már csak 2 teljesítendő tantárgyad marad a következő félévben, akkor akár 8 órát is dolgozhatsz."
Mely dokumentumok szükségesek a szakmai gyakorlat sikeres elvégzéséhez?,"A feladatlap, munkanapló, igazolás és szakmai dokumentáció szükségesek a szakmai gyakorlat sikeres elvégzéséhez."
Mennyi oldalas legyen a szakmai dokumentáció?,A szakmai dokumentációnak 15-20 oldalban kell leírnia a teljes szakmai gyakorlat alatt elvégzett munkát.
"Hova kell feltölteni a feladatlapot, ha nem jelentkeztem témára a szakmai gyakorlaton?","Ha nem jelentkeztél témára, akkor a feladatlapot a külső helyen végezett gyakorlatodhoz kell feltöltened."
Mikor lehet elkezdeni a szakmai gyakorlatot a feladatlap elfogadása után?,A szakmai gyakorlatot a feladatlap aláírása után lehet elkezdeni vezetni a munkanaplóban.
Mikor kezdődik a BME VIK szakmai gyakorlat?,A BME VIK szakmai gyakorlat szeptember 6-án kezdődik.
Mennyi időt kell ledolgozni a BME VIK szakmai gyakorlaton?,A BME VIK szakmai gyakorlaton heti 20 órát kell ledolgozni.
Milyen óraszámot lehet elszámolni a BME VIK szakmai gyakorlaton?,A BME VIK szakmai gyakorlaton a pótlási héten heti 40 órát is el lehet számolni.
Mely cégek rendelkeznek munkaviszonnyal az ItNatives zrt.-n keresztül a BME VIK szakmai gyakorlatához?,"Az ItNatives zrt. nem található meg azok között a cégek között, akik rendelkeznek munkaviszonnyal a BME VIK szakmai gyakorlatához."
"Lehetséges-e, hogy a már ledolgozott órák beszámításra kerüljenek a BME VIK szakmai gyakorlatába?","Igen, bsc utolsó féléves hallgatóként lehetséges a már ledolgozott órák beszámítása a BME VIK szakmai gyakorlatába."
Mikor lehet elvégezni a szakmai gyakorlatot a MSc képzés során?,"A szakmai gyakorlatot a MSc képzés során bármely félévben el lehet végezni, akár a munkahelyen is. Fontos azonban, hogy a gyakorlatot a Neptunban fel kell venni a megfelelő tárgyként, és a gyakorlati időszak végén kell leadni a jelentést."
Hogyan lehet beszámítani a BSc-n végzett szakmai gyakorlatot az MSc képzésbe?,"A BSc-n végzett szakmai gyakorlat beszámítható az MSc képzésbe. Ehhez a Neptunból le kell kérdezni a tárgyteljesítési lapot, amely igazolja a gyakorlat teljesítését. A lapot e-mailben kell elküldeni a felelős oktatónak, aki elintézi a beszámítást."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Van lehetőségem aláírást szerezni a nyári szakmai gyakorlatra?,"Igen, van lehetőséged aláírást szerezni a nyári szakmai gyakorlatra. Az AUT tanszék titkárságán tudod leadni a szakmai gyakorlat keretmegállapodását. Az iroda a Q épület B szárnyában található, az 207-es szobában. Elég csak megemlítened, hogy szakmai gyakorlat keretmegállapodásról van szó."
Hol kell leadnom a megállapodási szerződést a nyári szakmai gyakorlathoz?,"A megállapodási szerződést az AUT tanszék titkárságán kell leadnod. Az iroda a Q épület B szárnyában található, az 207-es szobában. Elég csak megemlítened, hogy szakmai gyakorlat keretmegállapodásról van szó."
Van lehetőségem elkezdeni a szakmai gyakorlatot a vizsgaidőszakban?,"Igen, van lehetőséged elkezden"
Hogyan lehet felkerülni a BME VIK szakmai gyakorlat kari együttműködési listájára?,"A cégednek először be kell kerülnie a kari együttműködési listára. Ehhez a céges adminisztratív kapcsolattartó személynek el kell küldenie a cég nevét és címét, valamint a saját nevét, telefonszámát és e-mail címét a felelősönek. Ezután intézik a megállapodás megkötését."
"Milyen teendőim vannak, ha a cégem nem szerepel a kari együttműködési listán, de gyakorlatot szeretnék végezni náluk?","Amennyiben a cég, ahol szeretnél gyakorlatot végezni, nem szerepel a kari együttműködési listán, akkor először fel kell venned a kapcsolatot a cég adminisztratív kapcsolattartójával. Kérj tőle információt arról, hogy milyen eljárás szükséges ahhoz, hogy a cég felkerüljön a listára, és segíts neki az ehhez szükséges információk megadásában."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"A Szakmai gyakorlat tárgyat akkor kell felvenni a Neptunban, amikor elkezded a gyakorlatot. Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed,"
Mikor kell felvenni a BMEVIAUM018-Szakmai gyakorlat mechatronikusoknak tárgyat?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a BSc képzés során teljesíted, akkor a tárgyat a következő félévben kell felvenni."
Milyen dokumentumokra van szükségem a szakmai gyakorlat teljesítéséhez?,"A szakmai gyakorlat teljesítéséhez szükséged lesz a Neptunból lekérdezhető tárgyteljesítési lapra, amely igazolja, hogy elvégezted a szakmai gyakorlatot."
Mikor kell beíratnom az aláírást a szakmai gyakorlat teljesítéséhez?,A szakmai gyakorlat teljesítésének igazolásához a félév végén kell beíratnod az aláírást.
Hogyan kezdeményezhetem a korábban teljesített szakmai gyakorlati tárgy elfogadását?,"Amennyiben korábban teljesítettél szakmai gyakorlati tárgyat a BSc képzés során, a BMEGEGTBKSZ-Szakmai gyakorlat tárgy teljesítéséhez a felvételi irodánál kell kezdeményezned az elfogadást."
Milyen szakmai gyakorlati tárgyakat kell teljesítenem a BMEVIAUM018-Szakmai gyakorlat mechatronikusoknak tárgyhoz?,A BMEVIAUM018-Szakmai gyakorlat mechatronikusoknak tárgy teljesítéséhez a BSc képzés során korábban teljesített szakmai gyakorlati tárgy elfogadása szükséges.
Milyen cégek szerepelnek az AUT portálon a gyakornoki lehetőségek között?,"Az AUT portálon számos cég szerepel, akik gyakornoki lehetőséget kínálnak. A cégek listáját a portálon találod, ahol részletes információkat találhatsz a gyakornoki pozíciókról."
Milyen cégekkel kell kötni keretszerződést a TMIT-en a szakmai gyakorlat teljesítéséhez?,"A TMIT-en a szakmai gyakorlat teljesítéséhez keretszerződést kell kötni a partner cégekkel. Az AITIA International Zrt. is egy partner cég, így a velük való együttműködéshez szükséges a keretszerződés megkötése."
Milyen dokumentumokat kell csatolni a szakmai gyakorlat megállapodáshoz?,"A szakmai gyakorlat megállapodáshoz általában szükséges csatolni a kérvényt, amelyet a hallgató tölt ki és aláír. Emellett a cég összetételét is meg kell adni, például hány PhD-vel rendelkező kolléga és hány MSc hallgató van a cégnél."
Mikor lehet elkezdeni a szakmai gyakorlatot?,"A szakmai gyakorlatot a BME VIK által meghatározott időszakokban lehet elkezdeni. Az általában ajánlott időszak a nyári szünet, de lehetőség van félév közben is gyakorlatot végezni. Fontos azonban, hogy a gyakorlat befejezése a vizsgaidőszak végére essen."
"Milyen lehetőség van, ha a szakmai gyakorlat időpontja csúszik a pótlási hetek határideje miatt?","Amennyiben a szakmai gyakorlat időpontja a pótlási hetek határidejéig csúszik, van lehetőség a vizsgaidőszak végére kitolni a befejezést. Azonban fontos, hogy erről egyeztess a szakmai gyakorlatodat felügyelő oktatóval és a vizsgabizottsággal."
Mennyit kell dolgozni a szakmai gyakorlaton hetente?,"A szakmai gyakorlaton általában heti 20 órát kell dolgozni. Azonban van lehetőség a heti óraszám limit megemelésére, amennyiben a vizsgaidőszakban vagy és záróvizsgázol. Ebben az esetben kétheted lehetőséged van heti 30 órát dolgozni a gyakorlaton."
Mikor lehet teljesíteni a kötelező szakmai gyakorlatot a BME VIK-nél?,"A kötelező szakmai gyakorlatot a BME VIK-nél a nyári időszakban lehet teljesíteni, amennyiben az előírt 320 órát ebben az időszakban sikerül összegyűjteni. Ha a szakmai gyakorlatot a nyári időszakban nem sikerül teljesíteni, akkor a következő félévben lehet pótolni."
Milyen feltételei vannak a szakmai gyakorlat teljesítésének?,"A szakmai gyakorlat teljesítésének feltétele, hogy a hallgatónak minimum 320 órát kell dolgoznia valamely vállalatnál vagy intézménynél. Emellett fontos, hogy a gyakorlati helyet a BME VIK által jóváhagyott vállalatok közül válassza a hallgató."
Milyen kurzusba kell felvenni a szakmai gyakorlatot a Neptun rendszerben?,"A szakmai gyakorlatot a Neptun rendszerben a ""Szakmai gyakorlat"" kurzusba kell felvenni. Ez a kurzus a hallgató tantervében szerepel, és a teljesített órák után kapja meg a hallgató a jegyet."
Milyen lépéseket kell tenni a szakmai gyakorlat teljesítéséhez a BME VIK-nél?,"A szakmai gyakorlat teljesítése előtt a hallgatónak meg kell találnia egy gyakorlati helyet egy BME VIK által jóváhagyott vállalatnál vagy intézménynél. Ezután a hallgatónak fel kell venni a ""Szakmai gyakorlat"" kurzust a Neptun rendszer"
Mennyi időt kell hetente szakmai gyakorlatra fordítanom?,Heti 20 órát kell szakmai gyakorlatra fordítanod.
Mikortól kezdhetem dokumentálni a szakmai gyakorlatot?,A szorgalmi időszak elejétől kezdhetsz dokumentálni.
Mikor kapom meg a szakmai gyakorlat megállapodást?,A szakmai gyakorlat megállapodást hamarosan elküldjük a cégednek.
Mennyi időt kell teljesítenem a szakmai gyakorlat során?,A szorgalmi időszakban heti 20 órát kell teljesítened a szakmai gyakorlat során.
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Melyik tanszék a specializációd anyatanszéke?,"A specializációd anyatanszéke a Méréstechnikai és Információs rendszerek Tanszéke (MIT) volt, ahol fel is vetted a specializációt."
"Ha még nem volt önlabom és mérnökinfós/rendszertervező specializáción, de megadták a lehetőséget a szakmai gyakorlatra, akkor kit kell beírni tanszéki konzulensnek?","Ha még nem rendelkezel önlabommal és nem végeztél mérnökinfós/rendszertervező specializáción, akkor a szakmai gyakorlat során a tanszéki felelőst kell megjelölnöd tanszéki konzulensként."
"Milyen teendőink vannak, ha már az aláírt együttműködési megállapodásunk megérkezett a cégtől?","Amennyiben az aláírt együttműködési megállapodás már folyamatban van, nincs szükség újabb dokumentumok bekérésére. A további teendőket az ETT tanszékkel történő egyeztetés során fogják megbeszélni."
Mikor lesz elérhető a javított sablon a portálon?,"A javított sablonok már elérhetőek a portálon. Kérjük, hogy ellenőrizze azokat és használja a frissített verziókat."
Hogyan tudjuk pótolni a hiányzó információkat az együttműködési megállapodásban?,"Amennyiben a gazdaságinformatikus MSc képzés hiányzik az együttműködési megállapodás előzmények részéből és a IV-es pontjából, kérjük, hogy vegye fel a kapcsolatot az ETT tanszékkel. Ők tudnak segíteni a hiányzó információk pótlásában."
Miként tudjuk javítani az 1-es számú mellékletben található hibát a sablonban?,"Amennyiben az 1-es számú mellékletben egy másik tanszék neve került be, kérjük, hogy használja a frissített sablont, amelyben már helyes információk szerepelnek."
Melyik témakiírást kell leadnom a tanszéki portálon a szakmai gyakorlat elismeréséhez?,"A szakmai gyakorlat elismeréséhez a tanszéki portálon a témakiírás leadása szükséges. A témakiírásnak tartalmaznia kell a gyakorlat tartalmát, célját és elvégzésének időpontjait. A pontos eljárásról és a szükséges dokumentumokról a tanszéki honlapon található információkat érdemes figyelni."
Mikortól kezdve lehet elszámolni a szakmai gyakorlattal?,"A szakmai gyakorlatot az előírt időszakban kell elvégezni. Az elszámolás a regisztrációs hét kezdete után történhet. Fontos, hogy az elszámoláshoz szükséges dokumentumokat időben leadjad a tanszéki adminisztrációnak."
"Mi a teendő, ha valaki elmulasztotta az előzetes adminisztrációt a szakmai gyakorlat elismeréséhez?","Ha valaki elmulasztotta az előzetes adminisztrációt a szakmai gyakorlat elismeréséhez, érdemes azonnal felvenni a kapcsolatot a tanszéki adminisztrációval. Egyeztethetnek arról, hogy van-e lehetőség utólagosan elszámolni a gyakorlattal, vagy hogy milyen alternatívákat javasolnak a hiányzó adminisztráció pótlására. Mindenképpen érdemes minél előbb intézkedni, hogy ne csússzon a szakmai gyakorlat a diploma megszerzését veszélyeztető határidők mi"
Melyik egyetemi intézményen kell leadni a kitöltött együttműködési megállapodási kérelmet?,A kitöltött együttműködési megállapodási kérelmet a BME VIK Szakmai Gyakorlatirodájára kell eljuttatni.
Milyen dokumentumok szükségesek a szakmai gyakorlat megkezdéséhez?,"A szakmai gyakorlat megkezdéséhez szükséges a kitöltött együttműködési megállapodás, az aktuális jogviszony igazolása (pl. diákigazolvány, diákhitel igazolás), valamint az adott vállalkozás által előírt egyéb dokumentumok (pl. egészségügyi igazolás, biztosítási papírok)."
Meddig kell leadni a szakmai gyakorlat beszámolót?,A szakmai gyakorlat beszámolót legkésőbb a gyakorlat befejezését követő 30 napon belül kell leadni.
Mennyi időt kell minimum eltölteni a szakmai gyakorlat helyszínén?,"A szakmai gyakorlat minimum időtartama 240 óra, amelyet általában 6-8 hetes időszakban kell teljesíteni. Az egyéni megállapodás szerint azonban ez változhat."
Hogyan lehet módosítani a szakmai gyakorlat időpontját?,A szakmai gyakorlat időpontjának módosításához szükséges a megfelelő együttműködési megállapodás módosítása. Ehhez kapcsolatba kell lépni a BME VIK Szakmai Gyak
Mikor kell együttműködési megállapodást kötni a céggel a szakmai gyakorlat során?,"Amennyiben a szakmai gyakorlatot a BME VIK ajánlásainak megfelelően, azaz együttműködési megállapodással végzed, akkor szükséges a megállapodást kötni a céggel. Ha azonban nem kötelező a megállapodás, akkor nincs szükség rá."
Hogyan kell benyújtani a feladatlapot és a teljesítési lapot a szakmai gyakorlat után?,A feladatlapot és a teljesítési lapot a vet-szakmaigyakorlat@vik.bme.hu e-mail címre kell elküldeni.
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, akkor a szakmai gyakorlat tárgyat a következő őszi félévben kell felvenni. Ha pedig a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen formában kell eljuttatni az együttműködési megállapodást a kari adminisztrációra?,"Az együttműködési megállapodást fizikai formában kell eljuttatni a kari adminisztrációba. Ha azonban a szkennelt forma is elfogadható, akkor azt e-mailben lehet elküldeni."
Melyik szakmai gyakorlat tárgyat kell felvennem a Neptunban a mechatronikai Msc szakon?,A mechatronikai Msc szakon az 'Intelligens beágyazott mechatronikai rendszerek' specializáción a 'Szakmai gyakorlat mechatronikusoknak' tárgyat (tárgykód: BMEVIAUM018) kell felvenni a szakmai gyakorlat teljesítéséhez.
Hogyan tudom elfogadtatni a Bsc alatt teljesített szakmai gyakorlatomat?,"A Bsc alatt teljesített szakmai gyakorlat elfogadtatásához meg kell tenned néhány lépést. Először is, a szakmai gyakorlatot kell dokumentálnod, például egy Tárgyteljesítési lapon. Ezután kapcsolatba kell lépned a BME VIK szakmai gyakorlat referensével, hogy egyeztessetek az elfogadás részleteiről és szükséges dokumentumokról."
"Milyen szakmai gyakorlatot teljesítettem a Bsc alatt, és milyen szakmai gyakorlatot kell még teljesítenem a Msc alatt?","A Bsc alatt végzett szakmai gyakorlatodról a Tárgyteljesítési lapodon kell szerepelnie. Az Msc alatt pedig meg kell teljesítened a 'Szakmai gyakorlat mechatronikusoknak' tárgyat (tárgykód: BMEVIAUM018), amely a mechatronikai Msc szakhoz tartozik."
Mik a fontos lépések a szakmai gyakorlat elfogadtatásához?,"A szakmai gyakorlat elfogadtatásához először is dokumentálnod kell a gyakorlatot, példá"
Milyen hatáskörrel rendelkezik a dékán a szakmai gyakorlat többletmunka engedélyezése tekintetében?,"Az érdeklődők az egyéni kérvényezés alapján kaphatnak engedélyt a többletmunkára, azonban a dékán hatáskörébe tartozik ezen kérvények elbírálása."
Mikor kezdődhet a szakmai gyakorlat a BME VIK-nél?,A szakmai gyakorlat kezdési dátumához szeptember 4.-ét kell megadni.
"Mennyi a maximális óraszám, amit a szabályzat szerint lehet teljesíteni a szakmai gyakorlat során félév közben?",A kari szabályzat szerint a szakmai gyakorlat félév közben maximum 20 munkaórát jelent.
Milyen módon lehet növelni a szakmai gyakorlat során teljesíthető óraszámot?,A dékáni engedéllyel lehet növelni a szakmai gyakorlat során teljesíthető óraszámot.
Melyik kérvényt kell benyújtani a Neptun rendszeren keresztül a szakmai gyakorlat során növelt óraszámért?,"A kérvényt a Neptun rendszeren belül lehet benyújtani, azonban pontos információkért érdemes a kari adminisztrációval felvenni a kapcsolatot."
Milyen időintervallumot kell megadni a szakmai gyakorlat befejezéséhez kapcsolódóan?,A szakmai gyakorlat befejezéséhez kapcsolódóan december 22.-ét kell megadni.
Hogyan lehet elfogadtatni a BSc-n végzett szakmai gyakorlatot a MSc-n?,"A gyakorlat elfogadtatásához küldd el emailben a BSc-s Tárgyteljesítési lapot, amelyen szerepel, hogy elvégezted a szakmai gyakorlatot és a félév végén bekerül az aláírásod. Erről érdeklődj az illetékes oktatónál vagy tanszékvezetőnél."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a BME Neptun rendszerében?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen dokumentumokra van szükség a Szakmai gyakorlat elfogadtatásához?,A szakmai gyakorlat elfogadtatásához szükséges a Bsc-n végzett szakmai gyakorlatodról szóló Teljesítési Lap. Ezt csatolva kell elküldened a tárgy oktatójának.
Van-e más teendőm a Szakmai gyakorlat elfogadtatása mellett?,"Amennyiben csak a Bsc-n végzett szakmai gyakorlatodat szeretnéd elfogadtatni, akkor nincs további teendőd. Ha viszont még nem végeztél a Bsc-n szakmai gyakorlattal, akkor azt is teljesítened kell."
Mikor kell felvenni a Szakmai gyakorlat mechatronikusoknak tárgyat?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Hogyan lehet elfogadtatni a BSc-s szakmai gyakorlatot az MSc-re?,"A BSc-s szakmai gyakorlat elfogadtatásához szükséges a Tárgyteljesítési lap, amit csatolni kell a kérelemhez. A kérelem benyújtása után a szakirány koordinátora és a tanszékvezető véleményezi az elfogadást. Ha minden feltételnek megfelelsz, akkor felveheted a Szakmai gyakorlat mechatronikusoknak tárgyat az MSc-s tanulmányaid során."
Mire van szükség a folyamat során?,"A BSc-s szakmai gyakorlat elfogadtatásához szükséges a Tárgyteljesítési lap, amit csatolnod kell a kérelemhez. Ezen kívül a szakirány koordinátora és a tanszékvezető véleményezi az elfogadást. Ha mindent rendben találnak, akkor felveheted a Szakmai gyakorlat mechatronikusoknak tárgyat az MSc-s tanulmányaid során."
"Melyik szakmai gyakorlat tárgynál kell leadnom a szükséges papírokat, ha az AUT specializációmat végeztem a TMIT-en keresztül?",Az AUT specializációját végző hallgatóknak az AUT anyatanszékén kell benyújtaniuk a szükséges papírokat és adminisztrálniuk a szakmai gyakorlatot. A TMIT-es szakmai gyakorlat tárgynál nem lehet leadni a dokumentumokat.
Hol található információ a BME VIK szakmai gyakorlatával kapcsolatban?,"A BME VIK szakmai gyakorlatával kapcsolatos információkat megtalálhatod az AUT anyatanszékén, a következő linken: https://www.aut.bme.hu/SzakmaiGyakorlat/"
Mikor és hol kell felvennem a Szakmai gyakorlat tárgyat a Neptun rendszerben?,"A Szakmai gyakorlat tárgyat a Neptun rendszerben a következő őszi félévben kell felvenned, amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed. Ha a szakmai gyakorlatodat félév közben végzed, akkor ugyanebben a félévben kell felvenned a tárgyat."
Mi a végbizonyítvány (abszolutórium) kiállításának feltétele?,"A végbizonyítvány (abszolutórium) kiállításának feltétele a szakmai gyakorlat teljesítése. Fontos, hogy időben meglegyen az aláírásod a szakmai gyakorlatról."
Milyen specializációval lehet felvenni a Szakmai gyakorlat tantárgyat?,"A Szakmai gyakorlat tantárgyat csak akkor lehet felvenni, ha van kötött specializáció a jövőben felvett specializációhoz. Például, ha a 'Szoftverfejlesztés specializáció' lesz a választott specializáció, akkor lehetőséged van a szakmai gyakorlat elkezdésére korábban is."
Mikor lehet elkezdeni a szakmai gyakorlatot?,"A szakmai gyakorlat elkezdése függ attól, hogy mikor veszed fel a Szakmai gyakorlat tantárgyat. Ha az ajánlott módon a nyári időszakban végzed a gyakorlatot, akkor a tárgyat a következő őszi félévben kell felvenned. Ha a gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenned a tárgyat."
Milyen teendőim vannak a szakmai gyakorlattal kapcsolatban?,"A szakmai gyakorlat elkezdése előtt érdemes kapcsolatba lépned a dékáni hivatallal, akik segítenek a tárgy felvétele és a gyakorlat intézése során. Emellett fontos, hogy a szakmai gyakorlatot a választott specializációhoz kapcsolódóan végezd el, hogy a gyakorlat a munkádhoz hozzájáruljon."
Milyen feltételekkel lehet teljesíteni a szakmai gyakorlatot?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele. Ezért fontos, hogy időben megleg"
Milyen cégeknél lehet teljesíteni a szakmai gyakorlatot?,A BME VIK AUT tanszékével keretmegállapodást kötött cégeknél és az iskolaszövetkezetnél is lehet teljesíteni a szakmai gyakorlatot.
Mennyi időt kell dolgozni a szakmai gyakorlaton?,"A szakmai gyakorlat elvégzéséhez az előírt óraszámot kell teljesíteni, amely a képzési rendszerben meghatározott."
"Mik a teendők, ha nem írtam ki előre témát a szakmai gyakorlatomhoz?","Ha nem írtál ki előre témát a szakmai gyakorlathoz, érdemes konzultálnod a tanszékkel vagy a céggel, ahol a gyakorlatot végezted, hogy egyeztessetek egy témát."
Milyen határidővel kell kiírni a szakmai gyakorlat témáját?,"Nincs meghatározott határidő a szakmai gyakorlat témájának kiírására, azonban célszerű minél hamarabb egyeztetni erről a tanszékkel vagy a gyakorlat helyszínével."
A feladatlap nevezhető-e témakiírásnak?,"A feladatlap a témakiírás részleteit tartalmazza, és segítséget nyújt a szakmai gyakorlat végrehajtásához. Azonban a témakiírás hivatalos dokumentum, amelyet a tanszék hagy jóvá."
Milyen információkat találok a BME VIK szakmai gyakorlatával kapcsolatban a megadott linken?,A megadott linken megtalálhatod a BME Villamosmérnöki és Informatikai Kar szakmai gyakorlatával kapcsolatos információkat.
Milyen egyéb lépésekre és dokumentumokra van szükség a szakmai gyakorlat elfogadásához a BME VIK-nál?,"Az elfogadáshoz szükséged lehet további lépésekre és dokumentumokra, amelyeket a BME VIK részletesen bemutat a szakmai gyakorlat weboldalán."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a BME VIK-nál?,"A Szakmai gyakorlat tárgyat a BME VIK-nál akkor kell felvenni, ha a gyakorlatot az ajánlott módon a nyári időszakban végzed. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen egyéb információkat tartalmaz a mellékelt dokumentum a szakmai gyakorlatról?,"A mellékelt dokumentumban további részleteket találsz a szakmai gyakorlatról, például milyen feladatokból fog állni és hogyan fogod végezni a gyakorlatot a Bosch cégnél."
Mik a szakmai gyakorlat teljesítésének feltételei a BME VIK-nál?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele a BME VIK-nál. Fontos, hogy időben meglegyen az aláírásod a szakmai"
Mikor kellett volna elkészülnöm a szakmai gyakorlat beszámolójával?,"A szakmai gyakorlat beszámolóját a regisztrációs hét végéig, tehát az utolsó munkanapjaig kellett volna feltöltened a szakmai gyakorlat portálra. Sajnos ez elkerülte a figyelmedet, de kérhetsz haladékot a beszámoló elkészítéséhez és feltöltéséhez."
Mikor lehet leadni a szakmai gyakorlat elvégzésének igazolását a BME VIK titkárságán?,Az igazolást munkanapokon 8-16 óra között lehet leadni a BME VIK titkárságán.
Hogyan tudom elfogadtatni a szakmai gyakorlatot az MBH banknál?,"A szakmai gyakorlat elfogadtatásához szükséges a szakmai gyakorlati szerződés átadása az illetékesnek, ez esetben Dr. Blázovics Lászlónak."
Mikor és hol van lehetőségem átadni a szakmai gyakorlati szerződést?,"Az átadásra a héten van lehetőség, azonban az egyetem épületében nem található a szerződés. Kérjük, hogy a szerződést másolatban küldje el emailben."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptun rendszerben?,"A szakmai gyakorlat tárgyát akkor kell felvenni a Neptun rendszerben, amikor a szakmai gyakorlatot megkezded. Amennyiben a gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni."
